reach_diff,age_diff,height_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,str_def_total_diff,td_avg_diff,td_acc_total_diff,td_def_total_diff,sub_avg_diff,wins_total_diff,losses_total_diff,target
2.539999999999992,0.0,-7.6200000000000045,-3.7,-8.16,0.26,0.05,1.77,0.47,0.4999999999999999,0.0,10,0,1
0.0,-5.0,-7.6200000000000045,1.2099999999999995,-1.1300000000000003,-0.0799999999999999,0.1399999999999999,-4.41,-0.2699999999999999,-0.35,0.0,-3,-1,0
5.0800000000000125,-1.0,-5.079999999999984,-0.4599999999999999,0.2099999999999999,0.08,0.1299999999999999,1.27,-0.1399999999999999,0.2299999999999999,-0.6000000000000001,5,1,0
5.0800000000000125,-2.0,7.6200000000000045,0.5800000000000001,-2.55,0.08,0.03,-0.48,0.0,0.01,-0.5,0,2,0
20.32000000000002,3.0,7.619999999999976,1.2800000000000002,-0.6000000000000005,0.0,0.04,0.22,0.33,0.69,-0.2,3,-1,1
0.0,-6.0,-5.079999999999984,2.2299999999999995,0.6100000000000003,-0.07,-0.01,-0.96,-0.3,0.43,0.0,3,-5,1
5.079999999999984,-1.0,0.0,3.2600000000000007,-0.5,0.1199999999999999,0.07,-0.5900000000000003,0.28,0.55,1.6,4,0,1
7.6200000000000045,-9.0,2.539999999999992,-1.0299999999999994,-0.2400000000000002,-0.1099999999999999,-0.0599999999999999,-0.49,0.0499999999999999,-0.01,-0.6,0,0,0
-22.860000000000017,3.0,-5.079999999999984,-0.1699999999999999,-3.0299999999999994,0.0999999999999999,0.29,-0.6400000000000001,0.06,-0.15,1.0,0,-1,1
2.539999999999992,1.0,2.5400000000000205,-1.2600000000000002,-4.18,0.0299999999999999,0.0899999999999999,-2.32,-0.5,0.41,0.5,0,-1,1
-7.6200000000000045,0.0,-7.619999999999976,-1.14,1.0599999999999998,0.01,-0.19,2.36,0.1299999999999999,-0.07,1.0,-2,0,0
-10.159999999999997,-7.0,0.0,-2.59,-1.6,-0.09,-0.09,-2.79,-0.0799999999999999,0.01,1.8,3,-3,1
0.0,10.0,2.539999999999992,0.0199999999999995,-1.37,0.2299999999999999,0.14,3.43,0.39,0.47,-0.5,4,3,0
2.539999999999992,8.0,0.0,-1.2600000000000002,-3.0,0.2399999999999999,-0.0099999999999999,1.82,0.47,0.05,0.0,-2,1,0
5.0800000000000125,8.0,-2.5400000000000205,1.7599999999999998,0.0899999999999998,0.1,-0.07,-0.1399999999999999,-0.19,-0.22,-1.1,11,4,0
2.539999999999992,1.0,-2.539999999999992,-1.63,-2.9299999999999997,-0.1599999999999999,0.12,0.36,-0.37,0.0199999999999999,0.0,12,4,1
2.539999999999992,7.0,-10.159999999999997,-1.2999999999999998,1.9799999999999995,-0.05,0.0399999999999999,-0.09,-0.31,0.18,0.1,1,6,0
10.159999999999997,-4.0,5.079999999999984,0.73,-0.92,-0.05,-0.03,4.4399999999999995,0.0399999999999999,0.05,0.0999999999999999,1,0,1
0.0,-2.0,0.0,-0.3600000000000003,-0.6399999999999997,0.0499999999999999,-0.1499999999999999,6.2,-0.01,-0.24,3.0,0,-1,1
5.079999999999984,5.0,0.0,0.1200000000000001,0.1200000000000001,0.14,-0.07,0.1899999999999999,0.48,0.2899999999999999,-0.6000000000000001,1,-2,1
0.0,11.0,-5.0800000000000125,1.89,1.0399999999999998,0.1699999999999999,0.01,1.4,0.45,-0.22,0.5,17,8,1
-2.539999999999992,-7.0,2.5400000000000205,2.7299999999999995,-1.15,0.06,0.22,3.72,0.9,1.0,1.6,-2,-4,1
-15.240000000000007,-2.0,-2.539999999999992,0.8200000000000003,-0.3799999999999999,0.1099999999999999,0.0099999999999998,0.0,0.0,0.0,0.0,2,0,1
-17.78,3.0,-5.0800000000000125,-5.210000000000001,3.26,-0.1,-0.0799999999999999,0.51,0.11,-0.4,0.0,-2,2,0
-5.0800000000000125,-4.0,10.159999999999997,2.6699999999999995,-2.76,0.18,0.25,1.58,-0.5,-0.5,0.0,3,0,1
10.159999999999997,9.0,7.619999999999976,0.8900000000000006,1.1599999999999997,-0.0099999999999999,0.03,-0.6400000000000001,0.1199999999999999,0.15,0.1999999999999999,-2,4,0
5.0800000000000125,8.0,-2.5400000000000205,1.4299999999999995,0.1099999999999998,0.0399999999999999,0.05,0.04,-0.1099999999999999,0.3,-0.5,12,5,1
-7.6200000000000045,-1.0,-10.159999999999997,-0.0900000000000003,-0.5900000000000003,0.08,0.0599999999999999,-1.1,-0.2099999999999999,-0.1099999999999999,0.0,-5,-4,1
0.0,6.0,-7.6200000000000045,-3.0600000000000005,-0.54,-0.26,0.0899999999999999,0.0,0.0,0.43,0.0,-3,1,0
-2.539999999999992,4.0,-5.0800000000000125,-2.7,-2.15,-0.12,0.04,-1.68,-0.19,-0.1899999999999999,-0.5,5,5,0
5.079999999999984,8.0,2.5400000000000205,1.3299999999999996,-1.33,-0.15,0.1399999999999999,-0.01,0.2099999999999999,0.21,0.0,11,12,1
5.079999999999984,1.0,-7.6200000000000045,-2.5000000000000004,1.6999999999999995,0.02,-0.07,3.959999999999999,-0.03,0.69,1.6,1,-1,1
-10.159999999999997,1.0,-2.539999999999992,-1.11,-3.73,-0.01,0.2099999999999999,1.19,0.5,0.0499999999999999,0.3,-2,0,0
5.079999999999984,3.0,2.5400000000000205,2.65,-1.7000000000000006,0.0899999999999999,0.07,0.3399999999999999,0.84,0.12,0.0,1,-1,1
-10.159999999999997,-2.0,-12.699999999999989,1.1599999999999997,-1.44,-0.05,0.02,0.3099999999999998,-0.12,0.1899999999999999,0.1,0,-1,1
2.539999999999992,-2.0,-7.6200000000000045,-2.5800000000000005,-0.0599999999999996,-0.01,-0.1,2.0,0.12,0.0,0.1,-3,2,0
5.079999999999984,1.0,5.0800000000000125,1.5099999999999998,2.5,0.06,0.0899999999999999,-1.63,-0.03,-0.12,-0.5,8,6,1
0.0,5.0,-2.539999999999992,2.03,-3.0799999999999996,0.29,0.1799999999999999,0.38,0.07,0.3399999999999999,0.0,-8,0,0
-7.6200000000000045,-2.0,-5.079999999999984,-2.6900000000000004,1.63,-0.2,-0.13,-0.4,0.1699999999999999,-0.28,-1.4,1,5,0
2.539999999999992,6.0,-2.539999999999992,-1.91,0.1,-0.15,-0.0999999999999999,0.43,0.09,-0.43,-0.1999999999999999,-1,-1,0
5.079999999999984,-1.0,7.6200000000000045,0.0700000000000002,-0.4300000000000006,0.0699999999999999,0.0899999999999999,1.09,0.29,0.1599999999999999,0.5,-9,-8,1
20.319999999999993,-6.0,10.159999999999997,1.0100000000000002,0.3900000000000001,-0.0499999999999999,-0.0799999999999999,-0.49,-0.01,0.01,0.5,-1,0,1
7.6200000000000045,10.0,0.0,-0.4199999999999999,2.86,0.0299999999999999,-0.0899999999999999,1.26,0.12,-0.13,0.6,-5,1,0
7.6200000000000045,-6.0,15.240000000000007,2.3200000000000003,1.5800000000000003,0.0499999999999999,-0.1,2.25,0.28,-1.0,0.8,-2,1,0
-15.240000000000007,6.0,-7.6200000000000045,-0.75,-1.6099999999999994,0.07,0.12,0.91,-0.24,-0.22,0.6,-1,-3,1
0.0,-4.0,-5.079999999999984,-1.6500000000000004,2.0800000000000005,-0.32,-0.0399999999999999,1.52,-0.01,0.03,-0.0999999999999999,3,-5,0
